titulo,descripcion,prioridad
Pantalla azul en el computador,El computador muestra pantalla azul al iniciar y se reinicia solo.,Alta
El proyector no funciona,El proyector de la sala de reuniones no enciende ni detecta señal.,Media
Problemas con la impresora,"La impresora no imprime correctamente, los documentos están en cola.",Baja
El proyector no funciona,El proyector de la sala de reuniones no enciende ni detecta señal.,Alta
Error en el sistema de gestión,No se puede iniciar sesión en el sistema de gestión de inventarios.,Media
Consulta sobre configuración de red,El cliente necesita ayuda para configurar la red WiFi de la oficina.,Baja
Problema con el mouse,El mouse inalámbrico no responde ni enciende.,Alta
Problemas con la impresora,"La impresora no imprime correctamente, los documentos están en cola.",Media
Consulta sobre configuración de red,El cliente necesita ayuda para configurar la red WiFi de la oficina.,Baja
Problemas con la impresora,"La impresora no imprime correctamente, los documentos están en cola.",Alta
El sistema de facturación no funciona,El software de facturación no permite procesar pagos ni generar facturas.,Media
La VPN no se conecta,No es posible establecer conexión con la VPN desde casa.,Baja
La VPN no se conecta,No es posible establecer conexión con la VPN desde casa.,Alta
El proyector no funciona,El proyector de la sala de reuniones no enciende ni detecta señal.,Media
La red está caída,"No hay conexión a internet en la oficina, afecta a todo el equipo.",Baja
Problema con el mouse,El mouse inalámbrico no responde ni enciende.,Alta
La VPN no se conecta,No es posible establecer conexión con la VPN desde casa.,Media
Problema con el mouse,El mouse inalámbrico no responde ni enciende.,Baja
El internet está muy lento,"La conexión a internet es demasiado lenta, impidiendo trabajar con normalidad.",Alta
Problemas con la impresora,"La impresora no imprime correctamente, los documentos están en cola.",Media
El sistema de facturación no funciona,El software de facturación no permite procesar pagos ni generar facturas.,Baja
El sistema de facturación no funciona,El software de facturación no permite procesar pagos ni generar facturas.,Alta
Pantalla azul en el computador,El computador muestra pantalla azul al iniciar y se reinicia solo.,Media
Problema con el mouse,El mouse inalámbrico no responde ni enciende.,Baja
Actualización requerida en el software,Se solicita realizar una actualización del sistema para mejorar el rendimiento.,Alta
No puedo acceder a mi correo corporativo,"El correo corporativo no carga, impidiendo la comunicación con clientes.",Media
No puedo acceder a mi correo corporativo,"El correo corporativo no carga, impidiendo la comunicación con clientes.",Baja
Pantalla azul en el computador,El computador muestra pantalla azul al iniciar y se reinicia solo.,Alta
Consulta sobre configuración de red,El cliente necesita ayuda para configurar la red WiFi de la oficina.,Media
El computador no enciende,El computador en la oficina no responde al botón de encendido.,Baja
La red está caída,"No hay conexión a internet en la oficina, afecta a todo el equipo.",Alta
La VPN no se conecta,No es posible establecer conexión con la VPN desde casa.,Media
El computador no enciende,El computador en la oficina no responde al botón de encendido.,Baja
Actualización requerida en el software,Se solicita realizar una actualización del sistema para mejorar el rendimiento.,Alta
La VPN no se conecta,No es posible establecer conexión con la VPN desde casa.,Media
Problemas con la impresora,"La impresora no imprime correctamente, los documentos están en cola.",Baja
Consulta sobre configuración de red,El cliente necesita ayuda para configurar la red WiFi de la oficina.,Alta
El sistema de facturación no funciona,El software de facturación no permite procesar pagos ni generar facturas.,Media
